skill_no,grammar_skills,skill_description,skill_examples
221,"Focusing adverbs: even, only, just","Focusing adverbs are used to highlight or give special attention to a part of the sentence. They help the speaker show importance, restriction, or surprise.
- Even: emphasizes something surprising, unexpected, or extreme.It can be used before the part of the sentence we want to stress (subject, object, verb, or clause).

Example: Even he didn’t know the answer. (It’s surprising because we expected him to know.)

- Only: shows limitation or restriction.It highlights one person, thing, or action and excludes others.Its meaning changes depending on where it is placed in the sentence.

Example: I only spoke to her yesterday. (I didn’t meet, write, or call—just spoke.)

- Just: has several uses, but as a focusing adverb, it means “exactly,” “only,” or “simply.”It often makes the sentence softer or less strong.

Example: It’s just a suggestion. (Nothing more than a suggestion.)","1. Even the teacher found the exam difficult.
2. She only goes to the gym on weekends.
3. We even managed to finish the project ahead of schedule."
222,"Intensifying adverbs: utterly, deeply, ridiculously","Intensifying adverbs are words we use to make adjectives or other adverbs stronger. Some intensifiers are fixed with particular adjectives and sound natural only in those combinations.
- Utterly: means “completely” or “totally,” often used with adjectives that describe extreme states or feelings. It is usually followed by negative or absolute adjectives (e.g., “utterly useless,” “utterly alone”). It emphasizes that there is no middle ground.

- Deeply: means “strongly” or “seriously,” and it expresses powerful emotions or states of mind. It often collocates with feelings such as deeply regret, deeply concerned, deeply grateful. It shows intensity at an emotional or thoughtful level.

- Ridiculously: means “to an absurd or extreme degree.”It is often used to exaggerate or criticize by showing that something is beyond normal limits.
Common collocations include ridiculously expensive, ridiculously easy, ridiculously small.","1. The plan turned out to be utterly impossible to complete within the deadline.
2. She felt deeply moved by the kindness of her students.
3. That restaurant is ridiculously expensive for the quality of food they serve."
223,Clauses of purpose with 'so as to' and 'in order to',"- Learners are expected to use a range of structures to show purpose clearly and formally. Two useful expressions are so as to and in order to. Both are followed by the base form of a verb (the infinitive without to after them). They are used to explain why someone does something, usually in more formal English.

- Meaning and Use
so as to and in order to introduce a clause that explains the purpose of an action.They answer the question “Why?”.
Example: She left early so as to avoid traffic. (Why did she leave early? To avoid traffic.)

- in order to is considered slightly more formal and is common in academic, professional, or written English. so as to is also formal but is often used in spoken and written English where precision is needed. In informal English, we often just use to for purpose: She left early to avoid traffic.","1. He slowed down so as to give the children time to cross the road.
2. She is taking an online course in order to improve her computer skills.
3. They spoke quietly so as not to disturb the other people in the room."
224,Understanding and using idiomatic verb phrases,"- Idiomatic verb phrases are expressions made up of verbs combined with other words (such as prepositions or adverbs) that have a meaning different from the literal meanings of the individual words. Learners are expected not only to recognize common idiomatic verb phrases but also to use them naturally in both spoken and written communication.

- For example, the phrase “give up” does not mean “to physically hand something upwards,” but rather “to stop trying.” Because idiomatic verb phrases are often metaphorical, they cannot be understood simply by translating word by word. This makes them challenging, but also essential for achieving fluency and sounding natural in English.","1. After several attempts, she finally gave up trying to fix the old computer.
2. We are really looking forward to our trip to the mountains next month.
3. The meeting was so boring that he dozed off halfway through the presentation."
225,"Noun + preposition collocations: a reason for, a solution to","Collocations are natural combinations of words that native speakers often use together. These combinations help your English sound more accurate and fluent.

- A reason for: We use this phrase to explain the cause of something. It tells us why something happens.
Example: The heavy rain was a reason for the delay.
Here, ""a reason for"" introduces the cause of the delay.

- A solution to: We use this phrase to introduce an answer to a problem or question.
Example: Technology can offer a solution to many environmental problems.
Here, ""a solution to"" introduces the answer to the problem.","1. The teacher gave us a clear reason for changing the exam date.
2. Is there a reason for your sudden interest in history?
3. The government is still searching for a solution to the pollution crisis."
226,"Double object verbs: give, send, offer","Some verbs can take two objects: a direct object (the thing) and an indirect object (the person who receives the thing). These are called double object verbs. Common examples include give, send, and offer.
- Structure: There are two main patterns:

Verb + indirect object + direct object
She gave me a book.
(me = indirect object / a book = direct object)

Verb + direct object + to/for + indirect object
She gave a book to me.

- Give: usually transfers something physical or abstract.
He gave his friend advice.

- Send: involves movement from one place to another, often with communication.
They sent their teacher an email.

- Offer: suggests presenting something for someone to accept or refuse.
The company offered her a job.","1.My friend gave me her notes after the lecture.
2. The teacher gave the students extra time for the test.
3. He offered his neighbor some help with the heavy bags."
227,Prepositional verbs vs. Phrasal verbs,"- Both prepositional verbs and phrasal verbs combine a verb with a short word (a preposition or a particle). At first they may look similar, but their grammar and meaning are different.

- Prepositional Verbs: A prepositional verb is a verb followed directly by a preposition, and the preposition always has an object. The meaning usually stays close to the original verb. You cannot separate the verb and the preposition.

Example: She looks after her younger brother.
Here, “after” is a preposition and “her younger brother” is its object.

- Phrasal Verbs: A phrasal verb is made of a verb + a particle (often an adverb like up, out, off). The meaning often changes and is more idiomatic, sometimes very different from the original verb. The particle does not function as a preposition.

Example: He gave up smoking.
Here, “up” changes the meaning of “give” completely.","1. She is looking after her grandmother while her parents are away. (prepositional verb)
2. I need to apply for a new passport soon. (prepositional verb)
3. He finally gave up trying to fix the old car. (phrasal verb)"
228,"Hedging and cautious language: It would seem that..., It may be the case that…","- Learners start to use hedging and cautious language to make their ideas sound more polite, less direct, or less certain. Hedging means softening a statement instead of saying something too strongly. This is useful in academic writing, discussions, and professional communication.

For example, instead of saying “This is true”, a speaker might say “It would seem that this is true” or “It may be the case that this is true”. These expressions show that the speaker is open to other possibilities and is not claiming absolute certainty.

- Hedging is important because:
It makes your speech or writing sound more diplomatic.
It shows awareness that other opinions or evidence might exist.
It helps avoid sounding rude, arrogant, or too direct.

-  Some common phrases for hedging are:
It would seem that…; It may be the case that…; It appears that…; It is possible that…; There seems to be…","1. It would seem that students perform better when they study in groups.
2. It may be the case that the results were influenced by outside factors.
3. It appears that fewer people are reading newspapers nowadays."
229,"-ing and -ed clauses (the woman talking to Tom, the boy injured in the accident)","- We often use -ing clauses and -ed clauses to make our sentences shorter and more natural. These clauses are a type of reduced relative clause. Instead of using a full relative clause with who/which/that, we can use an -ing form (present participle) or an -ed form (past participle).

- -ing Clauses: describes an active action (something the person or thing is doing). It usually replaces a relative clause with the verb in the continuous form.

Full clause: The woman who is talking to Tom is my teacher.
Reduced clause: The woman talking to Tom is my teacher.

- Here, “talking to Tom” describes the woman.

- -ed Clauses: describes a passive action (something done to the person or thing). It usually replaces a relative clause with the passive form.

Full clause: The boy who was injured in the accident went to the hospital.
Reduced clause: The boy injured in the accident went to the hospital.

- Here, “injured in the accident” describes the boy.","1. The students studying in the library are preparing for exams.
2. A letter sent by my friend arrived yesterday.
3. The man waiting at the bus stop looks very tired."
230,in case,"- The expression “in case” is used to show that something is done as a precaution or preparation for a possible future situation. It does not mean “if,” but rather “because something might happen.”
- Form:In case + subject + verb

Often followed by the present simple, though other tenses are possible depending on context.We use it to explain the reason for an action when we are preparing for something that might happen. It focuses on prevention or readiness, not on conditional results.","1. I always carry some cash in case the card machine doesn’t work.
2. She left early in case there was heavy traffic on the way.
3. Take my phone number in case you get lost."
231,by and until  by the time ...,"- Expressions like by, until, and by the time help us show deadlines (the latest point something happens) or duration (how long something continues).
- By: means “not later than”.
It shows the latest possible time something can happen, but it may happen earlier. Common with deadlines, appointments, and promises.It often goes with perfect tenses.

Example: I’ll finish this report by Friday. (maybe earlier, but no later than Friday)

- Until: shows how long something continues, from a starting point to an ending point in time. It focuses on the duration, not the deadline.It usually goes with continuous or simple tenses.

Example: She stayed at the party until midnight. (the action continued up to midnight)

- By the time: introduces a point in time when something else happens.It shows that one action is already finished before another begins.Common with past perfect or future perfect.

Example: By the time we arrived, the film had already started.","1. I need to submit the application by tomorrow evening.
2. He will wait here until the manager comes back.
3. By the time I reached the station, the train had already left."
232,"Noun + preposition (reason for, cause of etc.)","- Many nouns are followed by specific prepositions to create fixed expressions. These combinations are important because they help express clear relationships between ideas, such as reason, cause, effect, responsibility, or connection. 
For example:reason for; cause of; effect on; increase in; solution to; responsibility for

- These combinations cannot usually be changed without making the sentence incorrect. For instance, we say “the reason for his absence” but not “the reason of his absence.”","1. The reason for the delay was heavy traffic in the city.
2. Climate change is a major cause of extreme weather events.
3. There has been a sharp increase in online shopping over the past few years."
233,Verb + preposition (about/for/of/after) (about and of) ,"- Some verbs are often followed by specific prepositions. This combination gives the verb a particular meaning. Knowing which preposition to use is essential because the meaning can change or sound incorrect if the wrong one is chosen.
- Verb + about: When a verb is followed by about, it usually refers to the subject or topic of a conversation, thought, or feeling.
Talk about → to discuss a topic.
Think about → to consider or reflect on something.
Complain about → to express dissatisfaction regarding something.
Ask about → to request information on a subject.
- These verbs show focus on the topic or subject matter.

- Verb + of: When a verb is followed by of, it often expresses recognition, memory, or judgment.
Approve of → to have a positive opinion.
Disapprove of → to have a negative opinion.
Remind (someone) of → to cause someone to remember.
Consist of → to be made up of.
Accuse (someone) of → to say that someone is guilty of something.
- These verbs are more about evaluation, composition, or recalling.","1. She often complains about the noise from the street outside her apartment.
2. The committee did not approve of his careless behavior during the meeting.
3. He reminded me of the rules we agreed on before starting the project."
234,Phrasal verbs out/away/back ,"- Phrasal verbs are combinations of a verb and a particle (such as out, away, or back) that create a new meaning different from the verb alone. 
- Phrasal Verbs with Out
These often suggest leaving, finishing, or becoming visible.
Run out (of something) = to finish a supply.
Find out = to discover information.
Work out = to solve or to exercise.

- Phrasal Verbs with Away
These often suggest movement, disappearance, or continuation.
Give away = to donate or reveal.
Throw away = to discard.
Run away = to escape.

- Phrasal Verbs with Back
These usually suggest returning to a place, state, or condition.
Go back = to return.
Call back = to return a phone call.
Take back = to withdraw words or to return an item.","1. We ran out of sugar, so we need to buy some more.
2. She was surprised when she found out the truth about her friend.
3. Don’t throw away those papers; we might need them later."
